,tweets_original,tweets_translater_unicamp,tweets_translater_face
32,Adoro a voz do Pr. Fabio de Melo 😍#ConversaComBial,I love the voice of Mr Fabio de Melo #ConversaComB,I love the voice of Pr. Fabio de Melo #ConversaComBial
33, #MasterChefBR começou! Junto com o jogo da liberta e gsw x spurs. Que terça.,"Along with the game of the liberation and gsw x spurs,",#MasterChefBR started! Together with the game of freedom and gsw x spurs.
34,Eles roubam a cena na novela! Muito bom!  #MaisVoce,They steal the scene in the soap opera! Very go,They steal the scene in the novel! #MaisVoce
35,Tchau Victor B. É obvio que vc vai sair. #MasterChefBR,It is obvious that you are going to leave. #Master,Tchau Victor B. It’s obvious that VC will go out. #MasterChefBR
36,"#MaisVoce está aqui ensinando a passar roupas e os comentários da apresentadora são ´para fazer no terno do marido´, ´na camisa do namorado´",You are teaching how to wear clothes and the anchor,#MaisVoce is here teaching how to wear clothes and the commentary of the presentator is 'to do in the mouth' on the boyfriend's shirt.
37,"Déborah, a bixa é lacradora mesmo .
#MasterChefBR",#MasterChefBR,"Deborah, the bixa is lacradora itself. #MasterChefBR"
38,"É o tipo de assunto sério que a nossa mídia esquerdista tem medo de falar, ou fala besteira. Parabéns #TheNoite",Congratulations #TheNoite It is the type of serious iss,"It’s the kind of serious topic that our leftist media is afraid to talk, or talk foolish."
39,Eu gostaria de ter um #Encontro hj,I would like to have a #Meeting hj,I would like to have a #Encounter hj
40,Hoje tem🍝🍜🍛🥗🍲    😰😨😀 #MasterChefBR,Today there is   #MasterChefBR. Today there is,Today is  😀 #MasterChefBR
41,eu também prefeito gente mais velha #encontro kkkkkkkkkk,I also mayor older people #meeting kkkk,I'm also the mayor of older people #encounter kkkkkkkk
42,"#TheNoite Excelente a participação do !!!  muito bom falar sobre o assunto Armas de Fogo.
#CidadãoArmadoJá",The participation of the students is very good. #TheNo,#TheNoite Excellent participation of!!! very good to talk about the topic Firearms. #CitizenArmedJay
43,"O cara do System of a Down agora toca violino? Kkkkkkkkkkk
#Encontro",The guy of System of a Down now plays violin? Kkkk,The guy of the System of a Down now plays violin?
44,"Gente o cabelo e a maquiagem da Ana Maria Braga estão indo para  alguma festa que o resto do corpo não forão convidados 😂😂😂
#MaisVoce",The hair and the makeup of Ana Maria Braga are going to some,People hair and makeup of Ana Maria Braga are going to some party that the rest of the body will not be invited 😂😂😂 #MaisVoce
45,"#MasterChefBR

Ai eu só sei que perdi o programa quando entro no twitter e vejo o top .😢",I only know that I lost the program when I entered the t,#MasterChefBR Ai I only know I lost the program when I entered Twitter and saw the top.
46,"Ja que é pra tombar....tombei
...#VideoShowAoVivo",I took ...#VideoShowAoVideoVideoShowA,It’s just going to get... #VideoShowAoVivo
47,"A maior e melhor cantora que você respeita  no . #SandyLeah #Encontro
#SandynoEncontro",#SandyLeah #control #Sandynocontrol,The greatest and best singer you respect at #SandyLeah #Meet #SandynoMeet
48,"Com esse rei arthur, brincaria de princesa 24hrs sem reclamar, meuuuu deus #theNoite","With this king arthur, playing the princess 24hr","With this king Arthur, play Princess 24hrs without complaining, meuuuu god #theNoite"
49,"Qualquer um que saísse no time vermelho eu ficava sussa, mas do time azul, tô bad! #MasterChefBR",#MasterChefBR,"Anyone who came out in the red team I was dry, but from the blue team, it’s bad! #MasterChefBR"
50,Aí azul não me arrasa não #MasterChefBr,"Blue doesn't sting me away not #MasterChef""",There blue doesn’t hurt me not #MasterChefBr
51,Vem que já começou o #VídeoShowAoVivo !!,It has already begun the #VídeoShowAoVim !!,You see that the #VideoShowAoVivo has already begun!!
52,#Encontro  gente suspirando com esse João Vicente.😍😍,#I meet us sneezing with this João Vicente.,I’m looking forward to seeing people with this John Vincent.
53,"Yuki parece eu na educação física, a ultima a ser escolhida kkkkk #MasterChefBR","Yuki seems to me in physical education, the last","Yuki looks like me in physical education, the last to be chosen kkkkk #MasterChefBR"
54,"#Encontro Pensei que estávamos no século XXI 
 Só pensei...",I thought that we were in the 21st century I only,I thought I was in the 21st century and I thought I was...
55,#MasterChefBR Acho que hj não tem a maldição do time azul!!,I think that hj does not have the blue team,#MasterChefBR I think hj doesn't have the blue team's curse!!
56,"Semorou, mas o Silvio conseguiu casar a Patricia rs #DomingoLegal",Silvio managed to marry Patricia rs #DomingoLegal,"She was sad, but Silvio managed to marry Patricia rs #DomingoLegal"
57,Vem que vem  tô aqui esperando ver vcs no #ConversaComBial mesmo sendo gravado,It comes come here waiting to see vcs in #Con,You are here waiting to see vcs on #ConversaComBial even being recorded
58,"Quando fala que ""a coisa tá preta"" é em referência as trevas e escuridão. Aí tem gente que vem com essa de racismo. #Encontro","When he says that ""it\'s black"" it refers to darkness","When he says that “the black thing” is in reference to darkness and darkness, there are people who come with that of racism."
59,Que música sem graça essa da Vanessa da Mata! #altashoras,#high hours,What kind of music is that of Vanessa da Mata! #altashoras
60,"#MasterChefBR torta crua, não pode!","#MasterChefBR raw, not can!","#MasterChefBR raw cake, can’t!"
61,Será que a Fátima não fica triste por ter tirado a Tv Globinho não ? #VideoShowAoVivo,Does Fátima not get sad for having taken the Tv Glob,Does Fatima not feel sad about having taken the TV Globinho right? #VideoShowAoVivo
62,"#MasterChefBR Douglas filho da mãe, deveria pelo menos ter tido a capacidade de tirar a Miriam... Fala sério!!!",Seriously speaking!!!!!,"#MasterChefBR Douglas's mother's son, should at least have had the ability to take Miriam... Talk seriously!!!"
63,"É impressionante como eu sempre aprendo algo novo quando assisto uma entrevista do Drauzio Varella. Que homem!

#ConversaComBial",It is impressive how I always learn something new w,It’s impressive how I always learn something new when I watch a interview with Drauzio Varella.
64,O  não vai ter problema em fazer filme de terror depois de hj 😂😂😂😂😂😂😂😂😂😂😂 #TheNoite,The no problem will be in making a terror film after h,It will not be a problem to make a horror movie after hj 😂😂😂😂😂😂😂😂😂
65,#VideoShowAoVivo. Gente esse Cibele é linda ... E que ensaio em linda?! parabéns 👏,What essay is beautiful Cibele ... And what essay is be,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do."
66,Date é um upgrade do Crush #MasterChefBR,Date is an upgrade of Crush #MasterChefBR,Date is a upgrade to Crush #MasterChefBR
67,Todos deviam ver esse vídeo do Nabby Clifford.  #Encontro,#Control Everyone should see this video from Nabby,Everyone should see this video of Nabby Clifford.
68,"Catra cantando Rock, quer momento mais icônico que esse #TheNoite",You want a more iconic moment than this #TheNo,"Catra singing Rock, wants more iconic moment than this #TheNoite"
69,"Pq o programa não ta ao vivo?  
#MaisVocê",#MoreYou,Do you have the program live?
70,"Consolidados - GLOBO (15/05):

#JornalHoje 12.4
#VídeoShowAoVivo 9.6
#SessãoDaTarde 12.1
#SenhoraDoDestino 16.7",The GLOBO (15/05): #NewNewsday 12.4 #Play,This is the only way to get rid of the weight of the body.
71,"Só isso de Vivianne Pasmanter Ana Maria? A vai tomar no cu, não sabe aproveitar o artista quando vai.
 #MaisVoce","You're going to take it in the cu, you don't k""","It's just that of Vivianne Pasmanter Ana Maria? it's going to take it in the cu, it doesn't know how to take advantage of the artist when it goes."
72,"Eu não tenho estruturas pra conversas de adoção, tô chorando horrores #encontro","I don't have structures for adoption conversations""","I don't have structures for adoption conversations, I'm crying horrors"
73,Pessoas da novela Carinha de Anjo #DomingoLegal,"Peoples of the novel Carinha de Anjo #DomingoLegal, Carinha",People from the novel Love of the Angel #DomingoLegal
74,"#MasterChefBr 
Fogaça : num gostou pega eu
Eu: pego, sempre","I: cago, always","#MasterChefBr Escape : one likes catch me: I catch, always"
75,Era a Bela Gil no clipe do Tchan?? #AltasHoras hahaha,#AltasHoras hahahaha,It was the Beautiful Gil in the Tchan clip? #AltasHoras hahaha
76,Esse carinha é engraçado #MasterChefBR,This little girl is funny #MasterChefBR,This love is funny #MasterChefBR
77,#videoshowaovivo A Manu e a Joice são as duas vacas da ficção!!!! Insuportáveis!!!! 👎👎👎👎👎👎,The Manu and Joice are the two cows of fiction!!!!,It’s a good idea for you to have a lot of fun and a lot of fun and a lot of fun.
78,Bela Gil no clipe Dança do Ventre do É o Tchan. Conseguiu realizar o sonho de todas crianças soteropolitanas dos anos 90 #AltasHoras,They managed to accomplish the dream of all so,Bela Gil in the Belly Dance clip is the Tchan. It managed to realize the dream of all sub-politan children of the 90s #AltasHoras
79,Ai que agonia! #MasterChefBR,The agony! #MasterChefBR,It’s a good thing! #MasterChefBR
80,Se cadeia é tão ruim pq a galera vive correndo atrás de um PASSE #ConversaComBial,If the chain is so bad that the guy lives running a,If the chain is so bad pq the gallery lives running behind a PASSE #ConversaComBial
81,"Meu rei arthur favorito é o clive owen, acho q cabe mais um aqui 😬😂 #CharlieHunnam #TheNoite","My favorite king arthur is the clive owen, I guess","My favorite King Arthur is Clive Owen, I think there’s another one here 😂 #CharlieHunnam #TheNoite"
82,"Oi, Vitor B, fiquei sabendo que tu come dogão. Já que és de POA posso te apresentar o que tem aqui na esquina de casQQQ #MasterChefBR","Oi, Vitor B, I learn you eat the fastfast ea","Oh, Vitor B, I have been knowing that you eat dogan. Because you are from POA I can present you what is here in the corner of casQQQ #MasterChefBR"
83,Queria um Joaquim Lopes pra mim! #VideoShowAoVivo,#VideoShowAoVideoI wanted a Joaquim Lopes for me,I wanted a Joaquim Lopes for me! #VideoShowAoVivo
84,#videoShowAoVivo- o filho da Juliana era o Zac de Rock Story,The Zac of Rock Story was the Zac of Rock Story.,The son of Juliana was the Zac of Rock Story
85,Preciso descobrir logo qual o canal pago que reprisa o #MasterChefBR pra ver o programa de ontem,I need to find out soon what the paid channel re,I need to quickly find out which paid channel represses #MasterChefBR to see yesterday's program
86,Uma das maiores tristezas na minha vida ultimamente é que a Deborah do #MasterChefBR é casada com um boy :(,One of the greatest sadnesses in my life lately is,One of the biggest sadness in my life recently is that the #MasterChefBR Deborah is married to a boy :(
87,É impressão minha ou a Paola tá mais azeda que limão velho nesse #MasterChefBR ?,It is my impression or is Paola more sour than old,Is it my or Paola's impressions more aside than old lemon in this #MasterChefBR?
88,"Catra da uma aula de política e depois fala que a nova música dele é ""Ppk chora"" kkkkkkkkk mitooo

#thenoite","He says that his new music is ""Ppk cry"" kkkk","He cats from a political class and then tells that his new music is ""Ppk cry"" kkkkkkkkk mitooo #thenoite"
89,#MasterChefBR gosto de sardinha,#MasterChefBR like sardines I like sardines #Ma,#MasterChefBR likes sardines
90,"E agora? #ConversacomBial com o melhor, o Padre Fabio ou ver quem saiu no #MasterChef","What now? #Conversation with the best, Father Fabio or se","#ConversacomBial with the best, Father Fabio or see who came out on #MasterChef"
91,Meu Deus com uma mãe  dessa também não podia nascer diferente #encontro,My God with a mother of this other could not be born,My God with this mother could not also be born differently.
92,"Já, já 📺 #NasNovelasDaNoiteSBT #CarinhaDeAnjo125😍
#Chiquititas174💙
Logo mais:
#ProgramaDoRatinho 
#TelaDeSucessos
#TheNoite 
.",We have already  #NasNovelasDaNoiteSBT,"This is the first time I’ve been able to do it, and I’ve been able to do it, and I’ve been able to do it."
93,A risada da Vanessa ahhahaha #AltasHoras,The laugh of Vanessa ahhahaha #AltasHours,The laughter of Vanessa ahhahaha #AltasHoras
94,#MaisVoce tem tanta matéria que está falando de canudos e sua origem,You have so much article that you are talking about can,#MaisVoce has so much matter that it is talking about canyons and their origin
95,Só pelo rolê da Mirian hj.. tá demorando! #MasterChefBR,"It's just by Mirian's rolê... it's """,Just for Mirian hj's roll! it's too long! #MasterChefBR
96,Paolla Oliveira ❤ Jeiza ❤ #VídeoShowAoVivo #AForçaDoQuerer #VideoShowAoVivo,❤ Jeiza ❤ #VídeoShowAoVivo #AForçaDo,This is the most important thing that you can do when you’re going to get a lot of money.
97,"Depois de hoje, tem que acabar o Masterchef e botarem Siga bem Caminhoneiro no lugar #MasterChefBR","After today, Masterchef has to end and put the Trucker","After today, you have to end the Masterchef and throw Siga well Trailer in place #MasterChefBR"
98,#ConversaComBial O programa está perdendo a mão. Muitos recortes! Começar com os convidados já sentados é péssimo.  Melhora aí #pedrobial,The program is losing its hand. Many clippings! Begi,#ConversaComBial The program is losing the hand. Many cuts! Starting with the guests already sitting is bad. Improves there #pedrobial
99,#VideoShowAoVivo. A pior vilã dos desenhos animados está hoje no programa,The worst villain of cartoons is currently in the program,#VideoShowAoVivo. The worst villan of the cartoons is today in the show
100,Acabou as #PatroasNoRatinho mas agora tem #MalumaNoTheNoite 😍😍😍🔝🎶 divulgando a música #FelicesLos4 🇨🇴🇧🇷 #TheNoite  .,The #PatroasNoRatinho has ended but now there,It has finished the #PatroasNoRatinho but now has #MalumaNoTheNoite <unk>🏻<unk>🏻 releasing the music #FelicesLos4 <unk>🏻 #TheNoite.
101,"#masterchefbr Mirian, oh, sucesso procê. A saída é ali no fundo. Brigado por ocê tê vindo, viu ?
Bjo.",The outlet is there at the bottom.I fight for you,"#masterchefbr Mirian, oh, success proceeds. the exit is there in the bottom. Brigade by ocean has come, see? Bjo."
102," é o máximo! Adorando esse café!!
#MaisVoce",Adoring this coffee!! #MaisVoce,I love this coffee! #MaisVoce
103,#AltasHoras dos mais legais de todos os tempos! :DDD #top,:DDD #top #top #top #top #top #top #top #,#HighHores of the most legal of all time! :DDD #top
104,Hoje é dia de #MasterChefBR dá-lhe  não me infarte hoje! 💙,Today is the day of #MasterChefBR gives me not infarte,Today is #MasterChefBR's day don't bother me today!
105,"Globo SP (15/05)
#SP2 27.1
#JN 30.9
#TelaQuente 15.8
#ConversaComBial 7.4",These are the most common types of signs of a,Globo SP (15/05) #SP2 27.1 #JN 30.9 #TelaQuente 15.8 #ConversaComBial 7.4
106,Não suporto prova em grupo. #MasterChefBR,#MasterChefBR,I don’t support the group test. #MasterChefBR
107,Mr Catra () falando que vai ser pai pela 33°vez. 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😂😂😂😂😂😂😂😂 #TheNoite  ., #TheNoite .,Mr. Catra () says he will be a father for the 33th year. <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
108,#AltasHoras como não dançar ao som de É o Tchan? Kkk amo!,Kkk I love!,How to not dance at the sound of Is the Tchan?
109,"Acabou o #Encontro, colocaram a abertura do Plantão, cortaram, passaram o oferecimento do Encontro e apareceu o Evaristo..","They put the opening of the Plan, cut, they s","The Meeting ended, they put the opening of the Plant, they cut, they passed the Meeting offer and the Evarist appeared."
110,É incrível a tranquilidade da Paola no mercado #MasterChefBR,The tranquility of Paola in the market #MasterChefBR is a,It's amazing Paola's tranquility on the #MasterChefBR market
111,"Ana Luiza alem de linda, cozinha bem #MasterChefBR","Ana Luiza alem de linda, cozinha bem #MasterChefBR","Ana Luiza German of Beautiful, Good Kitchen #MasterChefBR"
112,"#MasterChefBR
Shippo forte Paola e Fogaça ❤",#MasterChefBR Shippo forte Paola e Fogaça ❤,#MasterChefBR Shippo strong Paola and Fugaça ❤
113,competição entre as equipes e a única certeza que temos é que a Mirian vai problematizar com muito prazer. #MasterChefBR,#MasterChefBR,The competition between the teams and the only certainty we have is that Mirian will problem with great pleasure. #MasterChefBR
114,Tão bonitinho o dedé com a Juliana Paes. #VideoShowAoVivo,"#VideoShowTheoVideoIf I'm so bonity""",It’s so beautiful that I’m with Juliana Paes. #VideoShowAoVivo
115,jornal nacional hoje mais comprido que o #MasterChefBR,The Brazilian newspaper today longer than #MasterChef,National newspaper today longer than #MasterChefBR
116,#Encontro Ótimo tema do programa de hj. Sofro um bocado com uma pessoa em casa que é muito pessimista! Minha própria mãe. 😢😢,I suffer a bit with a person at home who is very pe,I find a great theme of hj. I suffer a bit with a person at home who is very pessimistic!
117,#thenoite     eu? Graças à Deus eu sou homem até hoje.,Thanks to God I am a man to this day.,"Thanks to God, I am a man so far."
118,#encontro  das mães e ainda  tem Arnaldo Antunes que é um dos melhores do mundo.,"There is Arnaldo Antunes, one of the best in the world.",Meet the mothers and still has Arnaldo Antunes who is one of the best in the world.
119,MEU PARÁ MINHA BELÉM no #MasterChefBR *-*,MY PARÁ MINHA BELÉM no #MasterChefBR,My stop my beauty at #MasterChefBR *-*
120,"Como giló, mas não como sardinha #MasterChefBr","As a ball, but not as a sardine #MasterChefB","As a gill, but not as a sardine #MasterChefBr"
121,É triste saber que em pleno séc XXI ainda encontra-se homens assim #Encontro,It is sad to know that in the 21st century there are,It’s sad to know that in the full 21st century there are still men like this.
122,Cheguei a tempo de ver #ConversaComBial,I got in time to see #ConversationComBial,I've got time to see #ConversaComBial
123,"Gente tá geral se fodendo, pqp #MasterChefBR","People are generally getting fucked, pqp #MasterChe","People in general are footing, pqp #MasterChefBR"
124," é muito rock´n´roll, sensacional, me encanta!!!! #Encontro","#Encontrol is very rock ́n ́roll, sensational,","It’s very rock’n’roll, sensational, I love it!!!"
125,"Cadê o Theo?
#MaisVocê",#MoreYou,Where is Theodore? - Theodore
126,a cada episódio q passa Fabrizio continua um gato ne 😏 #MasterChefBR,Fabrizio continues a cat ne  #MasterChefBR,At each episode q passes Fabrizio continues a cat ne <unk> #MasterChefBR
127,Léo Stronda já chegou comendo as coisas kkkkjj #TheNoite,Léo Stronda has already arrived eating things,Leo Stronda has already come eating the things kkkkjj #TheNoite
128,E esse cabelo maravilhoso da Vanessa da Mata? #altashoras,#high-hours,What is this beautiful hair of Vanessa da Mata?
129,#ConversaComBial o padre  sambando na cara do Bial. Nota 10,Note 10,This is the most important thing that we can do in our world.
130,", ri alto com esse carimbó estilizado no final do #VideoShowAoVivo ! Só qro ver  amanhã!!!",I just want to see tomorrow!!!,"I'm not sure if you're going to have a good job, but if you're going to have a good job, you're going to have a good job."
131,"Que coisa mais fofa, ele é muito lindinho sz #AltasHoras","What is more fool, he is very nice sz #TimeTime","What's more foolish, he's very beautiful sz #AltasHoras"
132,O Martin da primeira temporada do #MasterChefBR é muito fofoooooo,The Martin of the first season of #MasterChefBR is ver,Martin of the first season of #MasterChefBR is very foolish
133, Achei deselegante o que fez com a Thais Araújo. #MaisVocê,#MoreYouYouTTHERYouTTHERYouTTHER,I found diselegant what he did with Thais Araújo.
134,Vou precisar dormir umas 100 horas pra ver se me recupero do programa de hoje!! #MasterChefBR,"I'm going to have to sleep for 100 hours to""",I’ll need to sleep about 100 hours to see if I’m recovering from today’s program!! #MasterChefBR
135,Quando que a globo vai comprar o #masterchefBr e o #powercouplebrasil ?? Tô no aguardo.. e descartar o #bbb e as mini séries pessimas?!,"I'm still rushing.. and discard #bbb and mini""",When will the globe buy the #masterchefBr and the #powercouplebrasil?
136,#MasterChefBR Acho que chegou o momento em que vamos começar a ficar triste com cada eliminação. E a competição vai aumentar.,I think that the time has come to begin to get sad,#MasterChefBR I think it’s the time that we’ll begin to get sad with every elimination.
137,  Fiquei confusa na apuração hahaha #MasterChefBR,I was confused in the calculation hahaha #MasterChefBR,I'm confused in the hashtag #MasterChefBR
138,"Nelson Xavier foi um grande homem,  ator e artestar!  Vai deixar muitas saudades!!! Porangatu Goiás ligado ao #videoshowaovivo",It will leave a lot of saudades!!! Porangatu Goiás linked,"Nelson Xavier was a great man, actor and artist! will miss a lot!!! Porangatu Goiás linked to #videoshowaovivo"
139," ""Não me furto às perguntas inférteis! "" Para bom entendedor!  😂😂😂 #conversacombial",To a good understanding!  #conversationcombial,"""I don't stole me to infertile questions! "" For good understanding! 😂😂😂 #conversacombial"
140,"cooomo eu gosto do Murilo... pqp 😂😂😂😂😂👏🏽👏🏽👏🏽
#TheNoite",I like Murilo... pqp  #TheNoite,"I like it, I like it, I like it, I like it, I like it."
141,Só esperando pra ver qual será a treta da Mirian hoje #MasterChefBR,"Only waiting to see what would be the Mirian's""",Just waiting to see what will be Mirian's threshold today #MasterChefBR
142,"Só eu acho q Bial está pondo o  padre #fabiodemelo  em  uma sinuca de bico com essas perguntas, um tanto que pegadinhas???. #conversacomBial",#conversacomBial #fabiodemelo is putting the priest #,"Only I think q Bial is putting the priest #fabiodemelo in a kissing sinus with these questions, a bit that footsteps???. #conversacomBial"
143,"#MasterChefBR no H&amp;H
A impressão é q a paciencia dos Chefs c/ a  está esgotando!
O risoto dela foi um ""mexidão"" com sabor ...
😛😛😛","She\'s smile was a ""exactness"" with taste",#MasterChefBR in H&amp;H The impression is q the patience of the Chefs c/a is exhausting!
144,#MaisVoce..Ana o FGTS não é descontado..é benefício..mas é direito nosso. O meu estava ok,My was ok,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do."
145,Menino continua como dentista mesmo. QUE HORROR! #videoshowaovivo,WHUE HORROR! #videoshowaovivo,The child remains as a dentist. what fear! #videoshowaovivo
146,Só vai #FicaYuko #ficavitorB #MasterChefBr,Only goes #FicaYuko #ficavitorB #MasterChe,Only go #FicaYuko #ficavitorB #MasterChefBr
147,MANA COLOCA O JAMBU JUNTO QUE É SUCESSO !!!!! #MasterchefBR,#MasterchefBR,The hand puts the joint joint that is successful!!!!! #MasterchefBR
148,Nao vejo logo a hora de começar.. &lt;3 😍#VideoShowAoVivo,&lt;3 #VideoShowAoVivo,I don't see the time to start. &lt;3 😍#VideoShowAoVivo
149,Acho q a edição do  força um pouco a posição de vilão do Léo. Ele é um amor. E até pra mandar na Miriam foi fofo #MasterChefBR,And even to send Myriam it was footing #MasterChef,I think q the edition of the force a little the position of the villain of Leo. He is a love. And even to send to Miriam was fofo #MasterChefBR
150,Eeeeeeee 🙌 otacosta dançando carimbó amanhã em #VídeoShowAoVivo,Eeeeeeee  otacosta dancing carimbó tomorrow,Eeeeeeee 👍 Otacosta Dancing Carimbó Tomorrow at #VideoShowAoVivo
