tweets_original,tweets_translater_face,polarity,polarityMultiClassifierTweetsOriginal,polarityMultiClassifierTweetsTraduzido
Eles roubam a cena na novela! Muito bom!  #MaisVoce,They steal the scene in the novel! #MaisVoce,1.0,1.0,-1.0
Tchau Victor B. É obvio que vc vai sair. #MasterChefBR,Tchau Victor B. It’s obvious that VC will go out. #MasterChefBR,0.0,-1.0,-1.0
"#MaisVoce está aqui ensinando a passar roupas e os comentários da apresentadora são ´para fazer no terno do marido´, ´na camisa do namorado´",#MaisVoce is here teaching how to wear clothes and the commentary of the presentator is 'to do in the mouth' on the boyfriend's shirt.,-1.0,0.0,0.0
"Déborah, a bixa é lacradora mesmo .
#MasterChefBR","Deborah, the bixa is lacradora itself. #MasterChefBR",1.0,-1.0,-1.0
"É o tipo de assunto sério que a nossa mídia esquerdista tem medo de falar, ou fala besteira. Parabéns #TheNoite","It’s the kind of serious topic that our leftist media is afraid to talk, or talk foolish.",1.0,-1.0,-1.0
Eu gostaria de ter um #Encontro hj,I would like to have a #Encounter hj,0.0,0.0,0.0
Hoje tem🍝🍜🍛🥗🍲    😰😨😀 #MasterChefBR,Today is  😀 #MasterChefBR,1.0,-1.0,1.0
eu também prefeito gente mais velha #encontro kkkkkkkkkk,I'm also the mayor of older people #encounter kkkkkkkk,1.0,0.0,0.0
"#TheNoite Excelente a participação do !!!  muito bom falar sobre o assunto Armas de Fogo.
#CidadãoArmadoJá",#TheNoite Excellent participation of!!! very good to talk about the topic Firearms. #CitizenArmedJay,1.0,1.0,1.0
"O cara do System of a Down agora toca violino? Kkkkkkkkkkk
#Encontro",The guy of the System of a Down now plays violin?,0.0,0.0,0.0
"Gente o cabelo e a maquiagem da Ana Maria Braga estão indo para  alguma festa que o resto do corpo não forão convidados 😂😂😂
#MaisVoce",People hair and makeup of Ana Maria Braga are going to some party that the rest of the body will not be invited 😂😂😂 #MaisVoce,-1.0,0.0,-1.0
"#MasterChefBR

Ai eu só sei que perdi o programa quando entro no twitter e vejo o top .😢",#MasterChefBR Ai I only know I lost the program when I entered Twitter and saw the top.,-1.0,-1.0,-1.0
"Ja que é pra tombar....tombei
...#VideoShowAoVivo",It’s just going to get... #VideoShowAoVivo,0.0,0.0,0.0
"A maior e melhor cantora que você respeita  no . #SandyLeah #Encontro
#SandynoEncontro",The greatest and best singer you respect at #SandyLeah #Meet #SandynoMeet,1.0,1.0,1.0
"Com esse rei arthur, brincaria de princesa 24hrs sem reclamar, meuuuu deus #theNoite","With this king Arthur, play Princess 24hrs without complaining, meuuuu god #theNoite",1.0,1.0,1.0
"Qualquer um que saísse no time vermelho eu ficava sussa, mas do time azul, tô bad! #MasterChefBR","Anyone who came out in the red team I was dry, but from the blue team, it’s bad! #MasterChefBR",-1.0,-1.0,-1.0
Aí azul não me arrasa não #MasterChefBr,There blue doesn’t hurt me not #MasterChefBr,-1.0,-1.0,-1.0
Vem que já começou o #VídeoShowAoVivo !!,You see that the #VideoShowAoVivo has already begun!!,1.0,0.0,0.0
#Encontro  gente suspirando com esse João Vicente.😍😍,I’m looking forward to seeing people with this John Vincent.,1.0,1.0,1.0
"Yuki parece eu na educação física, a ultima a ser escolhida kkkkk #MasterChefBR","Yuki looks like me in physical education, the last to be chosen kkkkk #MasterChefBR",-1.0,0.0,0.0
"#Encontro Pensei que estávamos no século XXI 
 Só pensei...",I thought I was in the 21st century and I thought I was...,-1.0,0.0,0.0
#MasterChefBR Acho que hj não tem a maldição do time azul!!,#MasterChefBR I think hj doesn't have the blue team's curse!!,0.0,-1.0,-1.0
"Semorou, mas o Silvio conseguiu casar a Patricia rs #DomingoLegal","She was sad, but Silvio managed to marry Patricia rs #DomingoLegal",0.0,1.0,0.0
Vem que vem  tô aqui esperando ver vcs no #ConversaComBial mesmo sendo gravado,You are here waiting to see vcs on #ConversaComBial even being recorded,1.0,0.0,0.0
"Quando fala que ""a coisa tá preta"" é em referência as trevas e escuridão. Aí tem gente que vem com essa de racismo. #Encontro","When he says that “the black thing” is in reference to darkness and darkness, there are people who come with that of racism.",-1.0,-1.0,-1.0
Que música sem graça essa da Vanessa da Mata! #altashoras,What kind of music is that of Vanessa da Mata! #altashoras,-1.0,-1.0,1.0
"#MasterChefBR torta crua, não pode!","#MasterChefBR raw cake, can’t!",-1.0,-1.0,-1.0
Será que a Fátima não fica triste por ter tirado a Tv Globinho não ? #VideoShowAoVivo,Does Fatima not feel sad about having taken the TV Globinho right? #VideoShowAoVivo,-1.0,-1.0,-1.0
"#MasterChefBR Douglas filho da mãe, deveria pelo menos ter tido a capacidade de tirar a Miriam... Fala sério!!!","#MasterChefBR Douglas's mother's son, should at least have had the ability to take Miriam... Talk seriously!!!",-1.0,-1.0,-1.0
"É impressionante como eu sempre aprendo algo novo quando assisto uma entrevista do Drauzio Varella. Que homem!

#ConversaComBial",It’s impressive how I always learn something new when I watch a interview with Drauzio Varella.,1.0,1.0,1.0
O  não vai ter problema em fazer filme de terror depois de hj 😂😂😂😂😂😂😂😂😂😂😂 #TheNoite,It will not be a problem to make a horror movie after hj 😂😂😂😂😂😂😂😂😂,-1.0,0.0,0.0
#VideoShowAoVivo. Gente esse Cibele é linda ... E que ensaio em linda?! parabéns 👏,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",1.0,1.0,1.0
Date é um upgrade do Crush #MasterChefBR,Date is a upgrade to Crush #MasterChefBR,0.0,0.0,1.0
Todos deviam ver esse vídeo do Nabby Clifford.  #Encontro,Everyone should see this video of Nabby Clifford.,1.0,0.0,1.0
"Catra cantando Rock, quer momento mais icônico que esse #TheNoite","Catra singing Rock, wants more iconic moment than this #TheNoite",1.0,1.0,1.0
"Pq o programa não ta ao vivo?  
#MaisVocê",Do you have the program live?,-1.0,-1.0,0.0
"Consolidados - GLOBO (15/05):

#JornalHoje 12.4
#VídeoShowAoVivo 9.6
#SessãoDaTarde 12.1
#SenhoraDoDestino 16.7",This is the only way to get rid of the weight of the body.,0.0,0.0,0.0
"Só isso de Vivianne Pasmanter Ana Maria? A vai tomar no cu, não sabe aproveitar o artista quando vai.
 #MaisVoce","It's just that of Vivianne Pasmanter Ana Maria? it's going to take it in the cu, it doesn't know how to take advantage of the artist when it goes.",-1.0,-1.0,-1.0
"Eu não tenho estruturas pra conversas de adoção, tô chorando horrores #encontro","I don't have structures for adoption conversations, I'm crying horrors",-1.0,-1.0,-1.0
Pessoas da novela Carinha de Anjo #DomingoLegal,People from the novel Love of the Angel #DomingoLegal,0.0,1.0,0.0
"#MasterChefBr 
Fogaça : num gostou pega eu
Eu: pego, sempre","#MasterChefBr Escape : one likes catch me: I catch, always",0.0,0.0,0.0
Era a Bela Gil no clipe do Tchan?? #AltasHoras hahaha,It was the Beautiful Gil in the Tchan clip? #AltasHoras hahaha,0.0,0.0,0.0
Esse carinha é engraçado #MasterChefBR,This love is funny #MasterChefBR,1.0,1.0,1.0
#videoshowaovivo A Manu e a Joice são as duas vacas da ficção!!!! Insuportáveis!!!! 👎👎👎👎👎👎,It’s a good idea for you to have a lot of fun and a lot of fun and a lot of fun.,-1.0,-1.0,1.0
Bela Gil no clipe Dança do Ventre do É o Tchan. Conseguiu realizar o sonho de todas crianças soteropolitanas dos anos 90 #AltasHoras,Bela Gil in the Belly Dance clip is the Tchan. It managed to realize the dream of all sub-politan children of the 90s #AltasHoras,1.0,1.0,1.0
Ai que agonia! #MasterChefBR,It’s a good thing! #MasterChefBR,-1.0,-1.0,1.0
Se cadeia é tão ruim pq a galera vive correndo atrás de um PASSE #ConversaComBial,If the chain is so bad pq the gallery lives running behind a PASSE #ConversaComBial,0.0,-1.0,-1.0
"Meu rei arthur favorito é o clive owen, acho q cabe mais um aqui 😬😂 #CharlieHunnam #TheNoite","My favorite King Arthur is Clive Owen, I think there’s another one here 😂 #CharlieHunnam #TheNoite",1.0,1.0,1.0
"Oi, Vitor B, fiquei sabendo que tu come dogão. Já que és de POA posso te apresentar o que tem aqui na esquina de casQQQ #MasterChefBR","Oh, Vitor B, I have been knowing that you eat dogan. Because you are from POA I can present you what is here in the corner of casQQQ #MasterChefBR",0.0,0.0,0.0
Queria um Joaquim Lopes pra mim! #VideoShowAoVivo,I wanted a Joaquim Lopes for me! #VideoShowAoVivo,1.0,0.0,0.0
#videoShowAoVivo- o filho da Juliana era o Zac de Rock Story,The son of Juliana was the Zac of Rock Story,0.0,0.0,0.0
Preciso descobrir logo qual o canal pago que reprisa o #MasterChefBR pra ver o programa de ontem,I need to quickly find out which paid channel represses #MasterChefBR to see yesterday's program,0.0,0.0,0.0
Uma das maiores tristezas na minha vida ultimamente é que a Deborah do #MasterChefBR é casada com um boy :(,One of the biggest sadness in my life recently is that the #MasterChefBR Deborah is married to a boy :(,-1.0,-1.0,-1.0
É impressão minha ou a Paola tá mais azeda que limão velho nesse #MasterChefBR ?,Is it my or Paola's impressions more aside than old lemon in this #MasterChefBR?,-1.0,-1.0,-1.0
"Catra da uma aula de política e depois fala que a nova música dele é ""Ppk chora"" kkkkkkkkk mitooo

#thenoite","He cats from a political class and then tells that his new music is ""Ppk cry"" kkkkkkkkk mitooo #thenoite",1.0,1.0,-1.0
#MasterChefBR gosto de sardinha,#MasterChefBR likes sardines,1.0,0.0,0.0
"E agora? #ConversacomBial com o melhor, o Padre Fabio ou ver quem saiu no #MasterChef","#ConversacomBial with the best, Father Fabio or see who came out on #MasterChef",0.0,0.0,1.0
Meu Deus com uma mãe  dessa também não podia nascer diferente #encontro,My God with this mother could not also be born differently.,1.0,1.0,-1.0
"Já, já 📺 #NasNovelasDaNoiteSBT #CarinhaDeAnjo125😍
#Chiquititas174💙
Logo mais:
#ProgramaDoRatinho 
#TelaDeSucessos
#TheNoite 
.","This is the first time I’ve been able to do it, and I’ve been able to do it, and I’ve been able to do it.",0.0,1.0,1.0
A risada da Vanessa ahhahaha #AltasHoras,The laughter of Vanessa ahhahaha #AltasHoras,1.0,1.0,1.0
#MaisVoce tem tanta matéria que está falando de canudos e sua origem,#MaisVoce has so much matter that it is talking about canyons and their origin,-1.0,0.0,0.0
Só pelo rolê da Mirian hj.. tá demorando! #MasterChefBR,Just for Mirian hj's roll! it's too long! #MasterChefBR,-1.0,0.0,-1.0
Paolla Oliveira ❤ Jeiza ❤ #VídeoShowAoVivo #AForçaDoQuerer #VideoShowAoVivo,This is the most important thing that you can do when you’re going to get a lot of money.,1.0,1.0,1.0
"Depois de hoje, tem que acabar o Masterchef e botarem Siga bem Caminhoneiro no lugar #MasterChefBR","After today, you have to end the Masterchef and throw Siga well Trailer in place #MasterChefBR",-1.0,-1.0,-1.0
#ConversaComBial O programa está perdendo a mão. Muitos recortes! Começar com os convidados já sentados é péssimo.  Melhora aí #pedrobial,#ConversaComBial The program is losing the hand. Many cuts! Starting with the guests already sitting is bad. Improves there #pedrobial,-1.0,-1.0,-1.0
#VideoShowAoVivo. A pior vilã dos desenhos animados está hoje no programa,#VideoShowAoVivo. The worst villan of the cartoons is today in the show,-1.0,-1.0,-1.0
Acabou as #PatroasNoRatinho mas agora tem #MalumaNoTheNoite 😍😍😍🔝🎶 divulgando a música #FelicesLos4 🇨🇴🇧🇷 #TheNoite  .,It has finished the #PatroasNoRatinho but now has #MalumaNoTheNoite <unk>🏻<unk>🏻 releasing the music #FelicesLos4 <unk>🏻 #TheNoite.,1.0,1.0,0.0
"#masterchefbr Mirian, oh, sucesso procê. A saída é ali no fundo. Brigado por ocê tê vindo, viu ?
Bjo.","#masterchefbr Mirian, oh, success proceeds. the exit is there in the bottom. Brigade by ocean has come, see? Bjo.",-1.0,1.0,1.0
" é o máximo! Adorando esse café!!
#MaisVoce",I love this coffee! #MaisVoce,1.0,1.0,1.0
#AltasHoras dos mais legais de todos os tempos! :DDD #top,#HighHores of the most legal of all time! :DDD #top,1.0,1.0,1.0
Hoje é dia de #MasterChefBR dá-lhe  não me infarte hoje! 💙,Today is #MasterChefBR's day don't bother me today!,1.0,1.0,1.0
"Globo SP (15/05)
#SP2 27.1
#JN 30.9
#TelaQuente 15.8
#ConversaComBial 7.4",Globo SP (15/05) #SP2 27.1 #JN 30.9 #TelaQuente 15.8 #ConversaComBial 7.4,0.0,0.0,0.0
Não suporto prova em grupo. #MasterChefBR,I don’t support the group test. #MasterChefBR,-1.0,-1.0,-1.0
Mr Catra () falando que vai ser pai pela 33°vez. 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😂😂😂😂😂😂😂😂 #TheNoite  .,Mr. Catra () says he will be a father for the 33th year. <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,0.0,0.0,0.0
#AltasHoras como não dançar ao som de É o Tchan? Kkk amo!,How to not dance at the sound of Is the Tchan?,1.0,1.0,0.0
"Acabou o #Encontro, colocaram a abertura do Plantão, cortaram, passaram o oferecimento do Encontro e apareceu o Evaristo..","The Meeting ended, they put the opening of the Plant, they cut, they passed the Meeting offer and the Evarist appeared.",-1.0,-1.0,0.0
É incrível a tranquilidade da Paola no mercado #MasterChefBR,It's amazing Paola's tranquility on the #MasterChefBR market,1.0,1.0,1.0
"Ana Luiza alem de linda, cozinha bem #MasterChefBR","Ana Luiza German of Beautiful, Good Kitchen #MasterChefBR",1.0,1.0,1.0
"#MasterChefBR
Shippo forte Paola e Fogaça ❤",#MasterChefBR Shippo strong Paola and Fugaça ❤,1.0,1.0,1.0
competição entre as equipes e a única certeza que temos é que a Mirian vai problematizar com muito prazer. #MasterChefBR,The competition between the teams and the only certainty we have is that Mirian will problem with great pleasure. #MasterChefBR,-1.0,1.0,1.0
Tão bonitinho o dedé com a Juliana Paes. #VideoShowAoVivo,It’s so beautiful that I’m with Juliana Paes. #VideoShowAoVivo,1.0,1.0,1.0
jornal nacional hoje mais comprido que o #MasterChefBR,National newspaper today longer than #MasterChefBR,-1.0,-1.0,0.0
#Encontro Ótimo tema do programa de hj. Sofro um bocado com uma pessoa em casa que é muito pessimista! Minha própria mãe. 😢😢,I find a great theme of hj. I suffer a bit with a person at home who is very pessimistic!,1.0,-1.0,-1.0
#thenoite     eu? Graças à Deus eu sou homem até hoje.,"Thanks to God, I am a man so far.",1.0,1.0,1.0
#encontro  das mães e ainda  tem Arnaldo Antunes que é um dos melhores do mundo.,Meet the mothers and still has Arnaldo Antunes who is one of the best in the world.,1.0,1.0,1.0
MEU PARÁ MINHA BELÉM no #MasterChefBR *-*,My stop my beauty at #MasterChefBR *-*,1.0,1.0,1.0
"Como giló, mas não como sardinha #MasterChefBr","As a gill, but not as a sardine #MasterChefBr",-1.0,0.0,0.0
É triste saber que em pleno séc XXI ainda encontra-se homens assim #Encontro,It’s sad to know that in the full 21st century there are still men like this.,-1.0,-1.0,-1.0
Cheguei a tempo de ver #ConversaComBial,I've got time to see #ConversaComBial,1.0,0.0,1.0
"Gente tá geral se fodendo, pqp #MasterChefBR","People in general are footing, pqp #MasterChefBR",-1.0,-1.0,-1.0
" é muito rock´n´roll, sensacional, me encanta!!!! #Encontro","It’s very rock’n’roll, sensational, I love it!!!",1.0,1.0,1.0
"Cadê o Theo?
#MaisVocê",Where is Theodore? - Theodore,0.0,0.0,0.0
a cada episódio q passa Fabrizio continua um gato ne 😏 #MasterChefBR,At each episode q passes Fabrizio continues a cat ne <unk> #MasterChefBR,1.0,1.0,-1.0
Léo Stronda já chegou comendo as coisas kkkkjj #TheNoite,Leo Stronda has already come eating the things kkkkjj #TheNoite,1.0,0.0,0.0
E esse cabelo maravilhoso da Vanessa da Mata? #altashoras,What is this beautiful hair of Vanessa da Mata?,1.0,1.0,1.0
#ConversaComBial o padre  sambando na cara do Bial. Nota 10,This is the most important thing that we can do in our world.,1.0,1.0,1.0
", ri alto com esse carimbó estilizado no final do #VideoShowAoVivo ! Só qro ver  amanhã!!!","I'm not sure if you're going to have a good job, but if you're going to have a good job, you're going to have a good job.",1.0,1.0,1.0
"Que coisa mais fofa, ele é muito lindinho sz #AltasHoras","What's more foolish, he's very beautiful sz #AltasHoras",1.0,1.0,1.0
O Martin da primeira temporada do #MasterChefBR é muito fofoooooo,Martin of the first season of #MasterChefBR is very foolish,1.0,1.0,-1.0
 Achei deselegante o que fez com a Thais Araújo. #MaisVocê,I found diselegant what he did with Thais Araújo.,-1.0,-1.0,-1.0
Vou precisar dormir umas 100 horas pra ver se me recupero do programa de hoje!! #MasterChefBR,I’ll need to sleep about 100 hours to see if I’m recovering from today’s program!! #MasterChefBR,-1.0,0.0,0.0
Quando que a globo vai comprar o #masterchefBr e o #powercouplebrasil ?? Tô no aguardo.. e descartar o #bbb e as mini séries pessimas?!,When will the globe buy the #masterchefBr and the #powercouplebrasil?,-1.0,-1.0,0.0
#MasterChefBR Acho que chegou o momento em que vamos começar a ficar triste com cada eliminação. E a competição vai aumentar.,#MasterChefBR I think it’s the time that we’ll begin to get sad with every elimination.,-1.0,-1.0,-1.0
  Fiquei confusa na apuração hahaha #MasterChefBR,I'm confused in the hashtag #MasterChefBR,-1.0,0.0,-1.0
"Nelson Xavier foi um grande homem,  ator e artestar!  Vai deixar muitas saudades!!! Porangatu Goiás ligado ao #videoshowaovivo","Nelson Xavier was a great man, actor and artist! will miss a lot!!! Porangatu Goiás linked to #videoshowaovivo",1.0,1.0,1.0
" ""Não me furto às perguntas inférteis! "" Para bom entendedor!  😂😂😂 #conversacombial","""I don't stole me to infertile questions! "" For good understanding! 😂😂😂 #conversacombial",0.0,0.0,0.0
"cooomo eu gosto do Murilo... pqp 😂😂😂😂😂👏🏽👏🏽👏🏽
#TheNoite","I like it, I like it, I like it, I like it, I like it.",1.0,1.0,1.0
Só esperando pra ver qual será a treta da Mirian hoje #MasterChefBR,Just waiting to see what will be Mirian's threshold today #MasterChefBR,0.0,0.0,0.0
"Só eu acho q Bial está pondo o  padre #fabiodemelo  em  uma sinuca de bico com essas perguntas, um tanto que pegadinhas???. #conversacomBial","Only I think q Bial is putting the priest #fabiodemelo in a kissing sinus with these questions, a bit that footsteps???. #conversacomBial",-1.0,-1.0,-1.0
"#MasterChefBR no H&amp;H
A impressão é q a paciencia dos Chefs c/ a  está esgotando!
O risoto dela foi um ""mexidão"" com sabor ...
😛😛😛",#MasterChefBR in H&amp;H The impression is q the patience of the Chefs c/a is exhausting!,-1.0,0.0,-1.0
#MaisVoce..Ana o FGTS não é descontado..é benefício..mas é direito nosso. O meu estava ok,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",0.0,0.0,1.0
Menino continua como dentista mesmo. QUE HORROR! #videoshowaovivo,The child remains as a dentist. what fear! #videoshowaovivo,-1.0,-1.0,-1.0
Só vai #FicaYuko #ficavitorB #MasterChefBr,Only go #FicaYuko #ficavitorB #MasterChefBr,0.0,0.0,0.0
MANA COLOCA O JAMBU JUNTO QUE É SUCESSO !!!!! #MasterchefBR,The hand puts the joint joint that is successful!!!!! #MasterchefBR,1.0,1.0,1.0
Nao vejo logo a hora de começar.. &lt;3 😍#VideoShowAoVivo,I don't see the time to start. &lt;3 😍#VideoShowAoVivo,1.0,1.0,1.0
Acho q a edição do  força um pouco a posição de vilão do Léo. Ele é um amor. E até pra mandar na Miriam foi fofo #MasterChefBR,I think q the edition of the force a little the position of the villain of Leo. He is a love. And even to send to Miriam was fofo #MasterChefBR,1.0,1.0,1.0
Eeeeeeee 🙌 otacosta dançando carimbó amanhã em #VídeoShowAoVivo,Eeeeeeee 👍 Otacosta Dancing Carimbó Tomorrow at #VideoShowAoVivo,1.0,1.0,1.0
Daqui a pouco tem #MasterChefBR e #PowerCoupleBrasil e já q não tem nada melhor pra fazer vamos comentar aqui!,Soon we have #MasterChefBR and #PowerCoupleBrasil and now q has nothing better to do let’s comment here!,-1.0,0.0,1.0
"Daqui a pouco às 13hrs, começa o Domingo Legal com elenco de CDA e  fará para do time roxo 💜 #CDANoDomingoLegal #DomingoLegal","This is the first time I’m going to do this, and I’m going to do this.",0.0,0.0,1.0
Muito bom Padre Fabio de Melo na #ConversacomBial,Father Fabio de Melo at #ConversacomBial,1.0,1.0,0.0
Será que ravióli de sardinha em conserva fica bom? Vou tentar fazer isso em casa. #MasterChefBR,Would it be a good thing for me? #MasterChefBR I’ll try to do it at home.,0.0,0.0,0.0
#VideoShowAoVivo saudades do Wando! Que nostalgia!,I am missing Wando! what a nostalgia!,1.0,-1.0,-1.0
"Caraca, um imbecil machista falou um monte de basta no #encontro","A crazy machist, Caraca, talked a lot of enough at the #touch",-1.0,-1.0,-1.0
"Queria uma bike, sdds 
#MaisVoce","I wanted a bike, sdds #MaisVoce",-1.0,-1.0,-1.0
"Eu quero esse ""SAI FOFOCA"" #VideoShowAovivo",I want that “SAI FOFOCA” #VideoShowAovivo,1.0,0.0,0.0
Fabrizio entre os melhores mas o melhor é a cara de inveja da dona Miriam #MasterChefBR,Fabrizio among the best but the best is Mrs. Miriam's jealous face #MasterChefBR,1.0,1.0,-1.0
A PAOLA TA MUITO EUUU #MasterChefBR,It’s a great deal #MasterChefBR,0.0,-1.0,1.0
eu sou pau rodado kkkj #VideoShowAoVivo,I am pau rounded kkkj #VideoShowAoVivo,0.0,0.0,0.0
"Lua maravilhosa, segue normal #Encontro","Wonderful moon, follow normal #Meeting",1.0,1.0,1.0
"#EDeCasa ele é mais baixo, logo o Centro de Gravidade fica próximo ao chão então fica mais difícil cair","#EDeCasa it is lower, as soon as the Gravity Center is close to the ground so it becomes harder to fall",0.0,-1.0,0.0
"Gosto muito da Fatima Bernardes,😍😍
#VideoShowAoVivo","I like Fatima Bernardes, 😍😍 #VideoShowAoVivo",1.0,1.0,1.0
"A maquiagem da Ana Maria hoje tá parecendo que foi eu que fiz, horrível! #MaisVoce","The makeup of Ana Maria today looks like it was me, horrible! #MaisVoce",-1.0,-1.0,-1.0
